2021-06-28 00:00:58,118 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624809658119, 'TBTC': 16506.246, 'BTC': 33186.249, 'RATIO_BTC': 0.5, 'BUNNY': 13.405, 'BNBTC': 0.38}
2021-06-28 00:02:12,751 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624809732752, 'TBTC': 16506.246, 'BTC': 33205.598, 'RATIO_BTC': 0.5, 'BUNNY': 13.394, 'BNBTC': 0.391}
2021-06-28 00:03:26,355 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624809806355, 'TBTC': 16506.246, 'BTC': 33205.598, 'RATIO_BTC': 0.5, 'BUNNY': 13.394, 'BNBTC': 0.391}
2021-06-28 00:04:39,033 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624809879033, 'TBTC': 16506.246, 'BTC': 33171.501, 'RATIO_BTC': 0.5, 'BUNNY': 13.443, 'BNBTC': 0.391}
2021-06-28 00:05:53,421 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624809953422, 'TBTC': 16506.246, 'BTC': 33148.219, 'RATIO_BTC': 0.5, 'BUNNY': 13.417, 'BNBTC': 0.394}
2021-06-28 00:07:06,446 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810026447, 'TBTC': 16506.246, 'BTC': 33148.219, 'RATIO_BTC': 0.5, 'BUNNY': 13.417, 'BNBTC': 0.394}
2021-06-28 00:08:22,419 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810102419, 'TBTC': 16506.246, 'BTC': 33285.117, 'RATIO_BTC': 0.5, 'BUNNY': 13.478, 'BNBTC': 0.38}
2021-06-28 00:09:36,620 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810176621, 'TBTC': 16506.246, 'BTC': 33289.719, 'RATIO_BTC': 0.5, 'BUNNY': 13.476, 'BNBTC': 0.378}
2021-06-28 00:10:51,498 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810251498, 'TBTC': 16506.246, 'BTC': 33289.719, 'RATIO_BTC': 0.5, 'BUNNY': 13.476, 'BNBTC': 0.378}
2021-06-28 00:12:05,692 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810325693, 'TBTC': 16506.246, 'BTC': 33239.632, 'RATIO_BTC': 0.5, 'BUNNY': 13.403, 'BNBTC': 0.375}
2021-06-28 00:13:19,176 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810399176, 'TBTC': 16506.246, 'BTC': 33239.632, 'RATIO_BTC': 0.5, 'BUNNY': 13.403, 'BNBTC': 0.375}
2021-06-28 00:14:28,736 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810468737, 'TBTC': 16506.246, 'BTC': 33239.632, 'RATIO_BTC': 0.5, 'BUNNY': 13.403, 'BNBTC': 0.375}
2021-06-28 00:15:40,448 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810540448, 'TBTC': 16506.246, 'BTC': 33302.76, 'RATIO_BTC': 0.5, 'BUNNY': 13.401, 'BNBTC': 0.344}
2021-06-28 00:17:11,321 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-06-28 00:17:33,834 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810653834, 'TBTC': 16506.246, 'BTC': 33302.76, 'RATIO_BTC': 0.5, 'BUNNY': 13.401, 'BNBTC': 0.344}
2021-06-28 00:18:47,975 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810727976, 'TBTC': 16506.246, 'BTC': 33147.05, 'RATIO_BTC': 0.5, 'BUNNY': 13.416, 'BNBTC': 0.352}
2021-06-28 00:19:58,574 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810798574, 'TBTC': 16506.246, 'BTC': 33147.05, 'RATIO_BTC': 0.5, 'BUNNY': 13.416, 'BNBTC': 0.352}
2021-06-28 00:21:13,097 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810873097, 'TBTC': 16506.246, 'BTC': 33147.05, 'RATIO_BTC': 0.5, 'BUNNY': 13.416, 'BNBTC': 0.352}
2021-06-28 00:22:26,762 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624810946763, 'TBTC': 16537.906, 'BTC': 33161.256, 'RATIO_BTC': 0.5, 'BUNNY': 13.393, 'BNBTC': 0.364}
2021-06-28 00:23:42,412 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811022412, 'TBTC': 16537.906, 'BTC': 33161.256, 'RATIO_BTC': 0.5, 'BUNNY': 13.393, 'BNBTC': 0.364}
2021-06-28 00:24:56,054 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811096054, 'TBTC': 16537.906, 'BTC': 33161.256, 'RATIO_BTC': 0.5, 'BUNNY': 13.393, 'BNBTC': 0.364}
2021-06-28 00:26:15,314 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811175315, 'TBTC': 16537.906, 'BTC': 33155.023, 'RATIO_BTC': 0.5, 'BUNNY': 13.406, 'BNBTC': 0.366}
2021-06-28 00:27:29,765 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811249766, 'TBTC': 16537.906, 'BTC': 33141.433, 'RATIO_BTC': 0.5, 'BUNNY': 13.406, 'BNBTC': 0.366}
2021-06-28 00:28:43,944 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811323944, 'TBTC': 16537.906, 'BTC': 33100.078, 'RATIO_BTC': 0.5, 'BUNNY': 13.406, 'BNBTC': 0.366}
2021-06-28 00:30:01,562 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811401562, 'TBTC': 16537.906, 'BTC': 33174.758, 'RATIO_BTC': 0.5, 'BUNNY': 13.405, 'BNBTC': 0.374}
2021-06-28 00:31:13,567 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811473567, 'TBTC': 16537.906, 'BTC': 33174.758, 'RATIO_BTC': 0.5, 'BUNNY': 13.405, 'BNBTC': 0.374}
2021-06-28 00:32:30,596 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811550597, 'TBTC': 16537.906, 'BTC': 33171.215, 'RATIO_BTC': 0.5, 'BUNNY': 13.374, 'BNBTC': 0.377}
2021-06-28 00:33:46,895 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811626896, 'TBTC': 16537.906, 'BTC': 33171.215, 'RATIO_BTC': 0.5, 'BUNNY': 13.374, 'BNBTC': 0.377}
2021-06-28 00:35:00,703 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811700704, 'TBTC': 16537.906, 'BTC': 33171.215, 'RATIO_BTC': 0.5, 'BUNNY': 13.374, 'BNBTC': 0.377}
2021-06-28 00:36:16,921 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811776922, 'TBTC': 16537.906, 'BTC': 32997.252, 'RATIO_BTC': 0.5, 'BUNNY': 13.368, 'BNBTC': 0.377}
2021-06-28 00:37:30,339 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811850339, 'TBTC': 16537.906, 'BTC': 32997.252, 'RATIO_BTC': 0.5, 'BUNNY': 13.368, 'BNBTC': 0.377}
2021-06-28 00:39:07,527 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624811947528, 'TBTC': 16537.906, 'BTC': 32997.252, 'RATIO_BTC': 0.5, 'BUNNY': 13.368, 'BNBTC': 0.377}
2021-06-28 00:40:24,583 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624812024583, 'TBTC': 16537.906, 'BTC': 32978.383, 'RATIO_BTC': 0.5, 'BUNNY': 13.344, 'BNBTC': 0.378}
2021-06-28 00:41:43,117 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624812103118, 'TBTC': 16537.906, 'BTC': 32978.383, 'RATIO_BTC': 0.5, 'BUNNY': 13.344, 'BNBTC': 0.378}
2021-06-28 00:42:56,916 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624812176916, 'TBTC': 16537.906, 'BTC': 32974.5, 'RATIO_BTC': 0.5, 'BUNNY': 13.354, 'BNBTC': 0.378}
2021-06-28 00:44:09,080 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624812249081, 'TBTC': 16537.906, 'BTC': 32974.5, 'RATIO_BTC': 0.5, 'BUNNY': 13.354, 'BNBTC': 0.378}
2021-06-28 00:45:25,925 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624812325925, 'TBTC': 16537.906, 'BTC': 32974.5, 'RATIO_BTC': 0.5, 'BUNNY': 13.354, 'BNBTC': 0.378}
2021-06-28 00:46:38,151 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1624812398152, 'TBTC': 16537.906, 'BTC': 32881.637, 'RATIO_BTC': 0.5, 'BUNNY': 13.32, 'BNBTC': 0.378}
