2021-07-01 20:49:31,525 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 20:49:39,807 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 20:50:02,222 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625143802223, 'TBTC': 16321.674, 'BTC': 33745.523, 'RATIO_BTC': 0.48, 'BUNNY': 15.399, 'BNBTC': 0.19}
2021-07-01 20:50:39,150 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 20:50:59,744 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625143859745, 'TBTC': 16321.674, 'BTC': 33766.761, 'RATIO_BTC': 0.48, 'BUNNY': 15.401, 'BNBTC': 0.192}
2021-07-01 20:51:58,328 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 20:52:20,180 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625143940181, 'TBTC': 16321.674, 'BTC': 33759.972, 'RATIO_BTC': 0.48, 'BUNNY': 15.41, 'BNBTC': 0.188}
2021-07-01 20:53:31,209 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144011209, 'TBTC': 16321.674, 'BTC': 33732.93, 'RATIO_BTC': 0.48, 'BUNNY': 15.404, 'BNBTC': 0.186}
2021-07-01 20:54:52,331 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144092331, 'TBTC': 16321.674, 'BTC': 33730.262, 'RATIO_BTC': 0.48, 'BUNNY': 15.383, 'BNBTC': 0.186}
2021-07-01 20:56:04,604 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144164604, 'TBTC': 16321.674, 'BTC': 33690.12, 'RATIO_BTC': 0.48, 'BUNNY': 15.378, 'BNBTC': 0.186}
2021-07-01 20:57:16,045 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144236045, 'TBTC': 16360.935, 'BTC': 33728.859, 'RATIO_BTC': 0.49, 'BUNNY': 15.379, 'BNBTC': 0.184}
2021-07-01 20:58:28,250 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144308250, 'TBTC': 16368.289, 'BTC': 33772.438, 'RATIO_BTC': 0.48, 'BUNNY': 15.405, 'BNBTC': 0.184}
2021-07-01 20:59:43,049 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144383050, 'TBTC': 16368.289, 'BTC': 33771.151, 'RATIO_BTC': 0.48, 'BUNNY': 15.405, 'BNBTC': 0.184}
2021-07-01 21:00:58,144 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144458144, 'TBTC': 16368.289, 'BTC': 33774.667, 'RATIO_BTC': 0.48, 'BUNNY': 15.405, 'BNBTC': 0.185}
2021-07-01 21:02:11,665 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144531666, 'TBTC': 16368.289, 'BTC': 33729.58, 'RATIO_BTC': 0.49, 'BUNNY': 15.413, 'BNBTC': 0.183}
2021-07-01 21:03:21,978 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144601979, 'TBTC': 16368.289, 'BTC': 33744.112, 'RATIO_BTC': 0.49, 'BUNNY': 15.413, 'BNBTC': 0.184}
2021-07-01 21:04:32,648 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144672648, 'TBTC': 16368.289, 'BTC': 33699.938, 'RATIO_BTC': 0.49, 'BUNNY': 15.386, 'BNBTC': 0.185}
2021-07-01 21:05:43,470 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144743470, 'TBTC': 16368.289, 'BTC': 33717.074, 'RATIO_BTC': 0.49, 'BUNNY': 15.382, 'BNBTC': 0.183}
2021-07-01 21:06:53,600 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144813600, 'TBTC': 16368.289, 'BTC': 33732.543, 'RATIO_BTC': 0.49, 'BUNNY': 15.354, 'BNBTC': 0.172}
2021-07-01 21:08:06,837 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144886837, 'TBTC': 16368.289, 'BTC': 33732.543, 'RATIO_BTC': 0.49, 'BUNNY': 15.326, 'BNBTC': 0.175}
2021-07-01 21:09:15,487 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625144955487, 'TBTC': 16368.289, 'BTC': 33720.457, 'RATIO_BTC': 0.49, 'BUNNY': 15.306, 'BNBTC': 0.181}
2021-07-01 21:10:27,408 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145027408, 'TBTC': 16368.289, 'BTC': 33716.254, 'RATIO_BTC': 0.49, 'BUNNY': 15.303, 'BNBTC': 0.182}
2021-07-01 21:11:40,492 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145100492, 'TBTC': 16368.289, 'BTC': 33717.327, 'RATIO_BTC': 0.49, 'BUNNY': 15.304, 'BNBTC': 0.174}
2021-07-01 21:12:55,623 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145175623, 'TBTC': 16368.289, 'BTC': 33706.898, 'RATIO_BTC': 0.49, 'BUNNY': 15.279, 'BNBTC': 0.181}
2021-07-01 21:14:09,448 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145249448, 'TBTC': 16368.289, 'BTC': 33725.464, 'RATIO_BTC': 0.49, 'BUNNY': 15.322, 'BNBTC': 0.168}
2021-07-01 21:15:27,667 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145327668, 'TBTC': 16368.289, 'BTC': 33767.537, 'RATIO_BTC': 0.48, 'BUNNY': 15.339, 'BNBTC': 0.174}
2021-07-01 21:16:36,635 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145396636, 'TBTC': 16368.289, 'BTC': 33689.392, 'RATIO_BTC': 0.49, 'BUNNY': 15.344, 'BNBTC': 0.183}
2021-07-01 21:17:50,125 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145470126, 'TBTC': 16368.289, 'BTC': 33822.98, 'RATIO_BTC': 0.48, 'BUNNY': 15.343, 'BNBTC': 0.171}
2021-07-01 21:18:59,198 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145539199, 'TBTC': 16368.289, 'BTC': 33814.128, 'RATIO_BTC': 0.48, 'BUNNY': 15.34, 'BNBTC': 0.175}
2021-07-01 21:20:08,902 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145608902, 'TBTC': 16368.289, 'BTC': 33725.266, 'RATIO_BTC': 0.49, 'BUNNY': 15.304, 'BNBTC': 0.176}
2021-07-01 21:21:31,716 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145691717, 'TBTC': 16358.61, 'BTC': 33854.622, 'RATIO_BTC': 0.48, 'BUNNY': 15.365, 'BNBTC': 0.179}
2021-07-01 21:22:39,110 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145759110, 'TBTC': 15524.116, 'BTC': 33820.402, 'RATIO_BTC': 0.46, 'BUNNY': 15.35, 'BNBTC': 0.18}
2021-07-01 21:24:06,449 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 21:24:28,148 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145868148, 'TBTC': 15521.518, 'BTC': 33814.39, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.181}
2021-07-01 21:25:44,463 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145944463, 'TBTC': 15521.518, 'BTC': 33677.398, 'RATIO_BTC': 0.46, 'BUNNY': 15.298, 'BNBTC': 0.179}
2021-07-01 21:27:03,307 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146023308, 'TBTC': 15521.518, 'BTC': 33752.305, 'RATIO_BTC': 0.46, 'BUNNY': 15.261, 'BNBTC': 0.178}
2021-07-01 21:28:15,242 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146095243, 'TBTC': 15521.518, 'BTC': 33744.3, 'RATIO_BTC': 0.46, 'BUNNY': 15.264, 'BNBTC': 0.178}
2021-07-01 21:29:23,063 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146163064, 'TBTC': 15521.518, 'BTC': 33760.796, 'RATIO_BTC': 0.46, 'BUNNY': 15.27, 'BNBTC': 0.176}
2021-07-01 21:30:31,703 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146231703, 'TBTC': 15521.518, 'BTC': 33793.516, 'RATIO_BTC': 0.46, 'BUNNY': 15.346, 'BNBTC': 0.179}
2021-07-01 21:31:45,430 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146305430, 'TBTC': 15510.191, 'BTC': 33677.444, 'RATIO_BTC': 0.46, 'BUNNY': 15.282, 'BNBTC': 0.181}
2021-07-01 21:32:57,842 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146377842, 'TBTC': 15510.191, 'BTC': 33838.284, 'RATIO_BTC': 0.46, 'BUNNY': 15.281, 'BNBTC': 0.189}
2021-07-01 21:34:11,450 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146451451, 'TBTC': 15510.191, 'BTC': 33818.556, 'RATIO_BTC': 0.46, 'BUNNY': 15.34, 'BNBTC': 0.187}
2021-07-01 21:35:27,367 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146527368, 'TBTC': 15510.191, 'BTC': 33818.11, 'RATIO_BTC': 0.46, 'BUNNY': 15.291, 'BNBTC': 0.182}
2021-07-01 21:36:38,657 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146598657, 'TBTC': 15510.191, 'BTC': 33786.815, 'RATIO_BTC': 0.46, 'BUNNY': 15.296, 'BNBTC': 0.186}
2021-07-01 21:37:50,470 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146670471, 'TBTC': 15510.191, 'BTC': 33749.953, 'RATIO_BTC': 0.46, 'BUNNY': 15.31, 'BNBTC': 0.187}
2021-07-01 21:39:01,421 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146741422, 'TBTC': 15510.191, 'BTC': 33707.129, 'RATIO_BTC': 0.46, 'BUNNY': 15.289, 'BNBTC': 0.184}
2021-07-01 21:40:12,932 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146812933, 'TBTC': 15510.191, 'BTC': 33696.125, 'RATIO_BTC': 0.46, 'BUNNY': 15.319, 'BNBTC': 0.186}
2021-07-01 21:41:21,167 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146881167, 'TBTC': 15510.191, 'BTC': 33657.817, 'RATIO_BTC': 0.46, 'BUNNY': 15.333, 'BNBTC': 0.188}
2021-07-01 21:42:37,906 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146957906, 'TBTC': 15510.191, 'BTC': 33687.855, 'RATIO_BTC': 0.46, 'BUNNY': 15.331, 'BNBTC': 0.184}
2021-07-01 21:43:45,295 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147025296, 'TBTC': 15510.191, 'BTC': 33655.75, 'RATIO_BTC': 0.46, 'BUNNY': 15.329, 'BNBTC': 0.184}
2021-07-01 21:45:02,245 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147102245, 'TBTC': 15510.191, 'BTC': 33734.991, 'RATIO_BTC': 0.46, 'BUNNY': 15.337, 'BNBTC': 0.183}
