2021-07-04 18:06:10,216 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-04 18:06:27,590 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393187591, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.715, 'BNBTC': 0.218}
2021-07-04 18:07:38,720 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393258720, 'TBTC': 14607.378, 'BTC': 35558.053, 'RATIO_BTC': 0.41, 'BUNNY': 17.698, 'BNBTC': 0.218}
2021-07-04 18:09:14,349 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-04 18:09:32,768 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393372769, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.673, 'BNBTC': 0.218}
2021-07-04 18:10:39,858 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393439859, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.673, 'BNBTC': 0.216}
2021-07-04 18:11:55,830 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393515830, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.661, 'BNBTC': 0.216}
2021-07-04 18:13:08,082 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393588082, 'TBTC': 14607.378, 'BTC': 35458.09, 'RATIO_BTC': 0.41, 'BUNNY': 17.674, 'BNBTC': 0.216}
2021-07-04 18:14:18,480 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393658481, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.664, 'BNBTC': 0.217}
2021-07-04 18:15:29,683 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393729684, 'TBTC': 14607.378, 'BTC': 35478.992, 'RATIO_BTC': 0.41, 'BUNNY': 17.745, 'BNBTC': 0.217}
2021-07-04 18:16:36,638 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393796639, 'TBTC': 14607.378, 'BTC': 35521.811, 'RATIO_BTC': 0.41, 'BUNNY': 17.75, 'BNBTC': 0.217}
2021-07-04 18:17:48,262 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625393868263, 'TBTC': 14607.378, 'BTC': 35521.66, 'RATIO_BTC': 0.41, 'BUNNY': 17.752, 'BNBTC': 0.213}
2021-07-04 18:20:42,881 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-04 18:21:05,923 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394065924, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.788, 'BNBTC': 0.22}
2021-07-04 18:22:18,060 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394138061, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.784, 'BNBTC': 0.225}
2021-07-04 18:23:32,262 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394212263, 'TBTC': 14607.378, 'BTC': 35468.863, 'RATIO_BTC': 0.41, 'BUNNY': 17.784, 'BNBTC': 0.225}
2021-07-04 18:24:45,157 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394285158, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.712, 'BNBTC': 0.225}
2021-07-04 18:25:57,572 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394357572, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.808, 'BNBTC': 0.22}
2021-07-04 18:27:04,997 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394424998, 'TBTC': 14607.378, 'BTC': 35488.652, 'RATIO_BTC': 0.41, 'BUNNY': 17.817, 'BNBTC': 0.22}
2021-07-04 18:28:14,356 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394494357, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.816, 'BNBTC': 0.221}
2021-07-04 18:29:26,607 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394566608, 'TBTC': 14607.378, 'BTC': 35484.801, 'RATIO_BTC': 0.41, 'BUNNY': 17.78, 'BNBTC': 0.221}
2021-07-04 18:30:38,332 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394638333, 'TBTC': 14607.378, 'BTC': 35481.921, 'RATIO_BTC': 0.41, 'BUNNY': 17.78, 'BNBTC': 0.221}
2021-07-04 18:32:08,960 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-04 18:32:34,544 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394754545, 'TBTC': 14607.378, 'BTC': 35465.129, 'RATIO_BTC': 0.41, 'BUNNY': 17.78, 'BNBTC': 0.223}
2021-07-04 18:33:44,319 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394824320, 'TBTC': 14607.378, 'BTC': 35467.945, 'RATIO_BTC': 0.41, 'BUNNY': 17.783, 'BNBTC': 0.223}
2021-07-04 18:34:54,850 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394894851, 'TBTC': 14607.378, 'BTC': 35460.656, 'RATIO_BTC': 0.41, 'BUNNY': 17.787, 'BNBTC': 0.223}
2021-07-04 18:36:07,089 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394967090, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.781, 'BNBTC': 0.223}
2021-07-04 18:37:20,747 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395040747, 'TBTC': 14607.378, 'BTC': 35497.082, 'RATIO_BTC': 0.41, 'BUNNY': 17.787, 'BNBTC': 0.223}
2021-07-04 18:38:30,794 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395110794, 'TBTC': 14607.378, 'BTC': 35497.082, 'RATIO_BTC': 0.41, 'BUNNY': 17.793, 'BNBTC': 0.223}
2021-07-04 18:39:41,485 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395181485, 'TBTC': 14607.378, 'BTC': 35565.935, 'RATIO_BTC': 0.41, 'BUNNY': 17.827, 'BNBTC': 0.223}
2021-07-04 18:40:47,625 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395247626, 'TBTC': 14607.378, 'BTC': 35529.452, 'RATIO_BTC': 0.41, 'BUNNY': 17.813, 'BNBTC': 0.224}
2021-07-04 18:42:02,302 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395322302, 'TBTC': 14607.378, 'BTC': 35567.504, 'RATIO_BTC': 0.41, 'BUNNY': 17.789, 'BNBTC': 0.226}
2021-07-04 18:43:18,129 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395398129, 'TBTC': 14607.378, 'BTC': 35513.434, 'RATIO_BTC': 0.41, 'BUNNY': 17.788, 'BNBTC': 0.222}
2021-07-04 18:44:26,024 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395466024, 'TBTC': 14607.378, 'BTC': 35518.832, 'RATIO_BTC': 0.41, 'BUNNY': 17.793, 'BNBTC': 0.222}
