2021-07-12 00:01:01,065 - pitman.py[line:49] - INFO: {'TIME': 1626019261065, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:02:15,317 - pitman.py[line:49] - INFO: {'TIME': 1626019335318, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:03:19,926 - pitman.py[line:49] - INFO: {'TIME': 1626019399926, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:04:32,076 - pitman.py[line:49] - INFO: {'TIME': 1626019472077, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:05:39,063 - pitman.py[line:49] - INFO: {'TIME': 1626019539063, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:06:55,984 - pitman.py[line:49] - INFO: {'TIME': 1626019615984, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:08:08,790 - pitman.py[line:49] - INFO: {'TIME': 1626019688791, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:09:15,579 - pitman.py[line:49] - INFO: {'TIME': 1626019755580, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.61}
2021-07-12 00:10:22,538 - pitman.py[line:49] - INFO: {'TIME': 1626019822538, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.61}
2021-07-12 00:11:27,492 - pitman.py[line:49] - INFO: {'TIME': 1626019887492, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:12:35,841 - pitman.py[line:49] - INFO: {'TIME': 1626019955842, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:13:41,849 - pitman.py[line:49] - INFO: {'TIME': 1626020021850, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:14:49,641 - pitman.py[line:49] - INFO: {'TIME': 1626020089642, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:15:56,104 - pitman.py[line:49] - INFO: {'TIME': 1626020156104, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:17:04,785 - pitman.py[line:49] - INFO: {'TIME': 1626020224786, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:18:16,301 - pitman.py[line:49] - INFO: {'TIME': 1626020296302, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:19:28,218 - pitman.py[line:49] - INFO: {'TIME': 1626020368218, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.496}
2021-07-12 00:20:34,237 - pitman.py[line:49] - INFO: {'TIME': 1626020434237, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.45}
2021-07-12 00:21:38,305 - pitman.py[line:49] - INFO: {'TIME': 1626020498305, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.45}
2021-07-12 00:22:49,019 - pitman.py[line:49] - INFO: {'TIME': 1626020569020, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.45}
2021-07-12 00:24:02,379 - pitman.py[line:49] - INFO: {'TIME': 1626020642380, 'TDOG': 0.082, 'DOG': 0.217, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
2021-07-12 00:25:10,208 - pitman.py[line:49] - INFO: {'TIME': 1626020710208, 'TDOG': 0.082, 'DOG': 0.217, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
2021-07-12 00:26:20,366 - pitman.py[line:49] - INFO: {'TIME': 1626020780367, 'TDOG': 0.082, 'DOG': 0.217, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
2021-07-12 00:27:31,739 - pitman.py[line:49] - INFO: {'TIME': 1626020851740, 'TDOG': 0.082, 'DOG': 0.217, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
2021-07-12 00:28:37,791 - pitman.py[line:49] - INFO: {'TIME': 1626020917792, 'TDOG': 0.082, 'DOG': 0.217, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
2021-07-12 00:29:44,672 - pitman.py[line:49] - INFO: {'TIME': 1626020984672, 'TDOG': 0.082, 'DOG': 0.218, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
2021-07-12 00:30:53,800 - pitman.py[line:49] - INFO: {'TIME': 1626021053800, 'TDOG': 0.082, 'DOG': 0.217, 'RATIO_DOG': 0.38, 'BTCST': 18.45}
