2021-06-26 01:25:54,989 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 03:13:32,148 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 03:13:52,559 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.086, 'DOG': 0.237, 'RATIO_DOG': 0.36, 'BTCST': 18.7}
2021-06-26 08:12:10,249 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 08:12:31,432 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 08:12:48,550 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.086, 'DOG': 0.237, 'RATIO_DOG': 0.36, 'BTCST': 18.316}
2021-06-26 09:16:03,312 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:17:08,969 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:18:22,399 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:19:35,059 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:20:45,251 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.242, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:21:58,259 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:23:08,760 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.242, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:24:18,806 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.242, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:25:28,292 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.5}
2021-06-26 09:26:38,043 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.36}
2021-06-26 09:27:45,567 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.36}
2021-06-26 09:28:50,178 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.36}
