2021-07-07 21:14:30,199 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 21:14:42,302 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-07 21:15:03,206 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 21:15:23,653 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625663723653, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.446}
2021-07-07 21:16:29,335 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625663789335, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.446}
2021-07-07 21:17:36,998 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625663856997, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.446}
2021-07-07 21:18:48,088 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625663928089, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.446}
2021-07-07 21:19:52,496 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625663992496, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.443}
2021-07-07 21:20:59,104 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664059105, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.475}
2021-07-07 21:22:02,801 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664122801, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.421}
2021-07-07 21:23:11,526 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664191526, 'TDOG': 0.089, 'DOG': 0.235, 'RATIO_DOG': 0.38, 'BTCST': 20.421}
2021-07-07 21:24:23,214 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664263215, 'TDOG': 0.089, 'DOG': 0.235, 'RATIO_DOG': 0.38, 'BTCST': 20.415}
2021-07-07 21:25:29,747 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664329747, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.354}
2021-07-07 21:26:42,119 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664402119, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.354}
2021-07-07 21:27:50,686 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664470687, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.372}
2021-07-07 21:28:52,617 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664532618, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.372}
2021-07-07 21:29:56,538 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664596539, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.372}
2021-07-07 21:30:59,754 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664659755, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.355}
2021-07-07 21:32:07,741 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664727741, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.355}
2021-07-07 21:33:16,529 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664796530, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.342}
2021-07-07 21:34:23,284 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664863284, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.345}
2021-07-07 21:35:33,908 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625664933909, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.345}
2021-07-07 21:36:41,569 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665001569, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.351}
2021-07-07 21:37:51,842 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665071842, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.351}
2021-07-07 21:38:56,843 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665136843, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.351}
2021-07-07 21:39:59,262 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665199262, 'TDOG': 0.089, 'DOG': 0.233, 'RATIO_DOG': 0.38, 'BTCST': 20.325}
2021-07-07 21:41:08,471 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665268472, 'TDOG': 0.089, 'DOG': 0.233, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:42:15,691 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665335691, 'TDOG': 0.089, 'DOG': 0.233, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:43:18,722 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665398723, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:44:26,727 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665466727, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:45:36,360 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665536360, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:46:42,714 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665602714, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:47:49,878 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665669879, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.317}
2021-07-07 21:48:54,074 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665734075, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:49:58,559 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665798559, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:51:03,418 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665863418, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:52:08,024 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665928025, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:53:14,795 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625665994795, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:54:18,564 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666058564, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:55:21,917 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666121918, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:56:25,863 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666185863, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:57:30,260 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666250261, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:58:35,004 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666315004, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 21:59:41,062 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666381062, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 22:00:48,355 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666448355, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.165}
2021-07-07 22:01:54,299 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666514300, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.245}
2021-07-07 22:03:02,800 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666582801, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.245}
2021-07-07 22:04:07,922 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666647922, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.245}
2021-07-07 22:05:22,970 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666722971, 'TDOG': 0.089, 'DOG': 0.235, 'RATIO_DOG': 0.38, 'BTCST': 20.245}
2021-07-07 22:06:28,864 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666788865, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.245}
2021-07-07 22:07:37,265 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666857265, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.245}
2021-07-07 22:08:46,156 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666926156, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.26}
2021-07-07 22:09:57,100 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625666997101, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.26}
2021-07-07 22:11:03,418 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625667063418, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.275}
2021-07-07 22:12:08,661 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625667128661, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.275}
2021-07-07 22:13:14,753 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625667194753, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.275}
2021-07-07 22:14:23,093 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625667263094, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.275}
