2021-07-08 00:00:12,097 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-08 00:00:28,204 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625673628204, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.793}
2021-07-08 00:01:38,485 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625673698486, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.793}
2021-07-08 00:02:48,194 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625673768194, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.793}
2021-07-08 00:04:07,955 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625673847956, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.793}
2021-07-08 00:05:14,178 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625673914179, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.786}
2021-07-08 00:06:18,610 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625673978610, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.786}
2021-07-08 00:07:28,035 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674048035, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:08:35,450 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674115450, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:09:41,755 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674181755, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:10:49,455 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674249456, 'TDOG': 0.088, 'DOG': 0.229, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:12:10,279 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674330279, 'TDOG': 0.088, 'DOG': 0.229, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:13:16,569 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674396569, 'TDOG': 0.088, 'DOG': 0.229, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:14:32,292 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674472293, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:15:38,174 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674538174, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:16:42,001 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674602001, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:17:48,496 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674668496, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:18:55,126 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674735127, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:20:00,567 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674800568, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:21:05,568 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674865569, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:22:14,500 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625674934501, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:23:22,190 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675002191, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
2021-07-08 00:24:28,369 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675068369, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.755}
