2021-07-09 11:40:13,940 - pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-09 11:40:36,663 - pitman.py[line:49] - INFO: {'TIME': 1625802036664, 'TDOG': 0.079, 'DOG': 0.206, 'RATIO_DOG': 0.38, 'BTCST': 18.028}
2021-07-09 11:41:46,920 - pitman.py[line:49] - INFO: {'TIME': 1625802106921, 'TDOG': 0.079, 'DOG': 0.206, 'RATIO_DOG': 0.38, 'BTCST': 18.028}
2021-07-09 11:42:56,698 - pitman.py[line:49] - INFO: {'TIME': 1625802176699, 'TDOG': 0.079, 'DOG': 0.206, 'RATIO_DOG': 0.38, 'BTCST': 18.028}
2021-07-09 11:44:02,250 - pitman.py[line:49] - INFO: {'TIME': 1625802242251, 'TDOG': 0.079, 'DOG': 0.206, 'RATIO_DOG': 0.38, 'BTCST': 18.028}
2021-07-09 11:45:06,986 - pitman.py[line:49] - INFO: {'TIME': 1625802306987, 'TDOG': 0.079, 'DOG': 0.206, 'RATIO_DOG': 0.38, 'BTCST': 18.028}
2021-07-09 11:46:19,420 - pitman.py[line:49] - INFO: {'TIME': 1625802379421, 'TDOG': 0.079, 'DOG': 0.205, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:47:32,464 - pitman.py[line:49] - INFO: {'TIME': 1625802452464, 'TDOG': 0.079, 'DOG': 0.205, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:48:43,964 - pitman.py[line:49] - INFO: {'TIME': 1625802523965, 'TDOG': 0.079, 'DOG': 0.205, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:49:54,460 - pitman.py[line:49] - INFO: {'TIME': 1625802594461, 'TDOG': 0.079, 'DOG': 0.205, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:51:04,135 - pitman.py[line:49] - INFO: {'TIME': 1625802664136, 'TDOG': 0.079, 'DOG': 0.204, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:52:18,260 - pitman.py[line:49] - INFO: {'TIME': 1625802738260, 'TDOG': 0.079, 'DOG': 0.204, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:53:23,413 - pitman.py[line:49] - INFO: {'TIME': 1625802803414, 'TDOG': 0.079, 'DOG': 0.204, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
2021-07-09 11:54:27,276 - pitman.py[line:49] - INFO: {'TIME': 1625802867276, 'TDOG': 0.079, 'DOG': 0.204, 'RATIO_DOG': 0.39, 'BTCST': 18.028}
