2021-07-10 00:00:54,537 - pitman.py[line:49] - INFO: {'TIME': 1625846454537, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.36}
2021-07-10 00:02:07,782 - pitman.py[line:49] - INFO: {'TIME': 1625846527783, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.36}
2021-07-10 00:03:17,076 - pitman.py[line:49] - INFO: {'TIME': 1625846597076, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.36}
2021-07-10 00:04:21,142 - pitman.py[line:49] - INFO: {'TIME': 1625846661142, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.36}
2021-07-10 00:05:28,460 - pitman.py[line:49] - INFO: {'TIME': 1625846728461, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.36}
2021-07-10 00:06:36,121 - pitman.py[line:49] - INFO: {'TIME': 1625846796121, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.395}
2021-07-10 00:07:40,829 - pitman.py[line:49] - INFO: {'TIME': 1625846860829, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.456}
2021-07-10 00:08:44,475 - pitman.py[line:101] - INFO: 重启中...
2021-07-10 00:09:05,358 - pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-10 00:09:21,440 - pitman.py[line:49] - INFO: {'TIME': 1625846961441, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.456}
2021-07-10 00:10:33,099 - pitman.py[line:49] - INFO: {'TIME': 1625847033099, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.456}
2021-07-10 00:11:37,507 - pitman.py[line:49] - INFO: {'TIME': 1625847097507, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.41}
2021-07-10 00:12:43,953 - pitman.py[line:49] - INFO: {'TIME': 1625847163954, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.41}
2021-07-10 00:13:48,597 - pitman.py[line:49] - INFO: {'TIME': 1625847228598, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:14:54,820 - pitman.py[line:49] - INFO: {'TIME': 1625847294821, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:16:02,674 - pitman.py[line:49] - INFO: {'TIME': 1625847362675, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:17:19,551 - pitman.py[line:49] - INFO: {'TIME': 1625847439551, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:18:34,164 - pitman.py[line:49] - INFO: {'TIME': 1625847514164, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:19:41,014 - pitman.py[line:49] - INFO: {'TIME': 1625847581014, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:20:50,600 - pitman.py[line:49] - INFO: {'TIME': 1625847650601, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:22:04,532 - pitman.py[line:49] - INFO: {'TIME': 1625847724532, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:23:16,551 - pitman.py[line:49] - INFO: {'TIME': 1625847796552, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.415}
2021-07-10 00:24:22,888 - pitman.py[line:49] - INFO: {'TIME': 1625847862888, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.434}
2021-07-10 00:25:29,911 - pitman.py[line:49] - INFO: {'TIME': 1625847929911, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.434}
