2021-07-12 00:00:19,885 - luck.py[line:39] - INFO: {'TIME': 1626019219885, 'TBTC': 12770.065, 'BTC': 33938.793, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.18}
2021-07-12 00:00:39,640 - luck.py[line:39] - INFO: {'TIME': 1626019239640, 'TBTC': 12770.065, 'BTC': 33938.793, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.173}
2021-07-12 00:01:00,788 - luck.py[line:39] - INFO: {'TIME': 1626019260789, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.173}
2021-07-12 00:01:23,949 - luck.py[line:39] - INFO: {'TIME': 1626019283950, 'TBTC': 12770.065, 'BTC': 33964.956, 'RATIO_BTC': 0.38, 'BUNNY': 18.46, 'BNBTC': 0.173}
2021-07-12 00:01:43,733 - luck.py[line:39] - INFO: {'TIME': 1626019303733, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.46, 'BNBTC': 0.173}
2021-07-12 00:02:15,152 - luck.py[line:39] - INFO: {'TIME': 1626019335153, 'TBTC': 12770.065, 'BTC': 33878.178, 'RATIO_BTC': 0.38, 'BUNNY': 18.458, 'BNBTC': 0.173}
2021-07-12 00:02:33,291 - luck.py[line:39] - INFO: {'TIME': 1626019353292, 'TBTC': 12770.065, 'BTC': 33941.859, 'RATIO_BTC': 0.38, 'BUNNY': 18.458, 'BNBTC': 0.173}
2021-07-12 00:02:51,211 - luck.py[line:39] - INFO: {'TIME': 1626019371212, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.458, 'BNBTC': 0.174}
2021-07-12 00:03:13,512 - luck.py[line:39] - INFO: {'TIME': 1626019393513, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.174}
2021-07-12 00:03:33,160 - luck.py[line:39] - INFO: {'TIME': 1626019413161, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.174}
2021-07-12 00:03:50,933 - luck.py[line:39] - INFO: {'TIME': 1626019430933, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.174}
2021-07-12 00:04:08,952 - luck.py[line:39] - INFO: {'TIME': 1626019448952, 'TBTC': 12770.065, 'BTC': 33901.742, 'RATIO_BTC': 0.38, 'BUNNY': 18.451, 'BNBTC': 0.174}
2021-07-12 00:04:31,713 - luck.py[line:39] - INFO: {'TIME': 1626019471713, 'TBTC': 12770.065, 'BTC': 33901.742, 'RATIO_BTC': 0.38, 'BUNNY': 18.455, 'BNBTC': 0.174}
2021-07-12 00:04:52,625 - luck.py[line:39] - INFO: {'TIME': 1626019492626, 'TBTC': 12770.065, 'BTC': 33938.793, 'RATIO_BTC': 0.38, 'BUNNY': 18.455, 'BNBTC': 0.174}
2021-07-12 00:05:12,341 - luck.py[line:39] - INFO: {'TIME': 1626019512342, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.311, 'BNBTC': 0.174}
2021-07-12 00:05:29,497 - luck.py[line:39] - INFO: {'TIME': 1626019529498, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.406, 'BNBTC': 0.174}
2021-07-12 00:06:16,022 - luck.py[line:92] - INFO:  🚥 Luck...
2021-07-12 00:06:33,142 - luck.py[line:39] - INFO: {'TIME': 1626019593142, 'TBTC': 12770.065, 'BTC': 33938.791, 'RATIO_BTC': 0.38, 'BUNNY': 18.41, 'BNBTC': 0.174}
2021-07-12 00:06:53,133 - luck.py[line:39] - INFO: {'TIME': 1626019613133, 'TBTC': 12770.065, 'BTC': 34001.499, 'RATIO_BTC': 0.38, 'BUNNY': 18.413, 'BNBTC': 0.168}
