2021-06-29 18:29:33,953 - luck.py[line:91] - INFO:  🚥 Luck...
2021-06-29 18:30:02,763 - luck.py[line:39] - INFO: {'TIME': 1624962602764, 'TBTC': 17941.738, 'BTC': 35147.055, 'RATIO_BTC': 0.51, 'BUNNY': 16.962, 'BNBTC': 0.253}
2021-06-29 18:31:18,530 - luck.py[line:39] - INFO: {'TIME': 1624962678530, 'TBTC': 17941.738, 'BTC': 35252.936, 'RATIO_BTC': 0.51, 'BUNNY': 16.962, 'BNBTC': 0.248}
2021-06-29 18:32:34,960 - luck.py[line:39] - INFO: {'TIME': 1624962754961, 'TBTC': 17941.738, 'BTC': 35238.094, 'RATIO_BTC': 0.51, 'BUNNY': 16.947, 'BNBTC': 0.25}
2021-06-29 18:33:49,800 - luck.py[line:39] - INFO: {'TIME': 1624962829800, 'TBTC': 17929.615, 'BTC': 35238.647, 'RATIO_BTC': 0.51, 'BUNNY': 16.941, 'BNBTC': 0.249}
2021-06-29 18:35:06,995 - luck.py[line:39] - INFO: {'TIME': 1624962906995, 'TBTC': 17929.615, 'BTC': 35233.602, 'RATIO_BTC': 0.51, 'BUNNY': 16.943, 'BNBTC': 0.249}
2021-06-29 18:36:05,970 - luck.py[line:91] - INFO:  🚥 Luck...
2021-06-29 18:36:27,604 - luck.py[line:39] - INFO: {'TIME': 1624962987605, 'TBTC': 17929.615, 'BTC': 35521.609, 'RATIO_BTC': 0.5, 'BUNNY': 17.006, 'BNBTC': 0.249}
2021-06-29 18:37:00,243 - luck.py[line:39] - INFO: {'TIME': 1624963020244, 'TBTC': 17929.615, 'BTC': 35525.988, 'RATIO_BTC': 0.5, 'BUNNY': 17.006, 'BNBTC': 0.249}
2021-06-29 18:37:21,046 - luck.py[line:91] - INFO:  🚥 Luck...
2021-06-29 18:37:43,550 - luck.py[line:39] - INFO: {'TIME': 1624963063550, 'TBTC': 17929.615, 'BTC': 35538.395, 'RATIO_BTC': 0.5, 'BUNNY': 17.019, 'BNBTC': 0.252}
2021-06-29 18:38:06,390 - luck.py[line:91] - INFO:  🚥 Luck...
