2021-07-07 00:00:08,345 - luck.py[line:39] - INFO: {'TIME': 1625587208345, 'TBTC': 13890.407, 'BTC': 34055.785, 'RATIO_BTC': 0.41, 'BUNNY': 18.731, 'BNBTC': 0.203}
2021-07-07 00:00:31,739 - luck.py[line:39] - INFO: {'TIME': 1625587231740, 'TBTC': 13890.407, 'BTC': 34055.785, 'RATIO_BTC': 0.41, 'BUNNY': 18.737, 'BNBTC': 0.203}
2021-07-07 00:01:01,312 - luck.py[line:39] - INFO: {'TIME': 1625587261313, 'TBTC': 13890.407, 'BTC': 34163.262, 'RATIO_BTC': 0.41, 'BUNNY': 18.737, 'BNBTC': 0.203}
2021-07-07 00:01:21,167 - luck.py[line:39] - INFO: {'TIME': 1625587281168, 'TBTC': 13890.407, 'BTC': 34163.262, 'RATIO_BTC': 0.41, 'BUNNY': 18.737, 'BNBTC': 0.199}
2021-07-07 00:01:46,955 - luck.py[line:39] - INFO: {'TIME': 1625587306955, 'TBTC': 13890.407, 'BTC': 34163.262, 'RATIO_BTC': 0.41, 'BUNNY': 18.737, 'BNBTC': 0.199}
2021-07-07 00:02:11,672 - luck.py[line:39] - INFO: {'TIME': 1625587331673, 'TBTC': 13890.407, 'BTC': 34163.262, 'RATIO_BTC': 0.41, 'BUNNY': 18.737, 'BNBTC': 0.199}
2021-07-07 00:02:35,356 - luck.py[line:39] - INFO: {'TIME': 1625587355356, 'TBTC': 13890.407, 'BTC': 34151.806, 'RATIO_BTC': 0.41, 'BUNNY': 18.759, 'BNBTC': 0.199}
2021-07-07 00:02:55,863 - luck.py[line:39] - INFO: {'TIME': 1625587375864, 'TBTC': 13890.407, 'BTC': 34125.883, 'RATIO_BTC': 0.41, 'BUNNY': 18.768, 'BNBTC': 0.199}
2021-07-07 00:03:21,309 - luck.py[line:39] - INFO: {'TIME': 1625587401309, 'TBTC': 13890.407, 'BTC': 34124.809, 'RATIO_BTC': 0.41, 'BUNNY': 18.768, 'BNBTC': 0.199}
2021-07-07 00:03:40,314 - luck.py[line:39] - INFO: {'TIME': 1625587420314, 'TBTC': 13890.407, 'BTC': 34124.809, 'RATIO_BTC': 0.41, 'BUNNY': 18.768, 'BNBTC': 0.199}
2021-07-07 00:04:04,128 - luck.py[line:39] - INFO: {'TIME': 1625587444128, 'TBTC': 13890.407, 'BTC': 34056.422, 'RATIO_BTC': 0.41, 'BUNNY': 18.71, 'BNBTC': 0.199}
